ID;Seed;www;d;b;s;BestSol4IF;GAP(%)4IF;Time(s)4IF;BestSol3IF;GAP(%)3IF;Time(s)3IF
MDHFPCVRPTW_30_D_0;0;1;1;0;0;1483.57;3.01%;1;1483.25;0.00%;1
MDHFPCVRPTW_30_D_1;1;1;1;0;0;1500.78;0.00%;1;1500.78;0.00%;1
MDHFPCVRPTW_30_D_2;2;1;1;0;0;1293.11;0.00%;1;1293.11;0.00%;1
MDHFPCVRPTW_30_D_3;3;1;1;0;0;1488.72;0.00%;1;1488.72;0.00%;1
MDHFPCVRPTW_30_D_4;4;1;1;0;0;1651.10;0.00%;1;1651.10;0.00%;1
MDHFPCVRPTW_30_B_0;5;1;0;1;0;1082.16;0.00%;2;1082.16;0.00%;1
MDHFPCVRPTW_30_B_1;6;1;0;1;0;1556.27;2.66%;13;1556.27;2.59%;1
MDHFPCVRPTW_30_B_2;7;1;0;1;0;1412.82;0.00%;1;1412.82;0.00%;2
MDHFPCVRPTW_30_B_3;8;1;0;1;0;1477.98;4.04%;38;1477.98;0.00%;3
MDHFPCVRPTW_30_B_4;9;1;0;1;0;1218.90;3.28%;3;1218.90;2.79%;1
MDHFPCVRPTW_30_S_0;10;1;0;0;1;1289.56;3.75%;110;1289.56;0.00%;10
MDHFPCVRPTW_30_S_1;11;1;0;0;1;1359.81;2.25%;5;1359.81;0.54%;4
MDHFPCVRPTW_30_S_2;12;1;0;0;1;1241.71;4.03%;2;1241.71;0.00%;2
MDHFPCVRPTW_30_S_3;13;1;0;0;1;1424.63;4.99%;6;1434.07;7.08%;3
MDHFPCVRPTW_30_S_4;14;1;0;0;1;1222.58;1.05%;1;1222.58;0.00%;1
MDHFPCVRPTW_60_D_0;15;2;1;0;0;2359.78;3.84%;142;2362.26;3.67%;14
MDHFPCVRPTW_60_D_1;16;2;1;0;0;2311.71;2.09%;73;2311.71;3.96%;64
MDHFPCVRPTW_60_D_2;17;2;1;0;0;2241.81;4.76%;14;2252.36;5.83%;23
MDHFPCVRPTW_60_D_3;18;2;1;0;0;2080.07;5.28%;67;2080.07;5.09%;32
MDHFPCVRPTW_60_D_4;19;2;1;0;0;2253.36;3.17%;9;2267.47;5.68%;18
MDHFPCVRPTW_60_B_0;20;2;0;1;0;2066.98;3.91%;41;2064.75;3.29%;27
MDHFPCVRPTW_60_B_1;21;2;0;1;0;2100.20;7.50%;77;2098.00;5.32%;67
MDHFPCVRPTW_60_B_2;22;2;0;1;0;2407.99;6.15%;214;2395.26;6.66%;102
MDHFPCVRPTW_60_B_3;23;2;0;1;0;2008.38;5.48%;14;1997.54;3.92%;100
MDHFPCVRPTW_60_B_4;24;2;0;1;0;2143.73;7.25%;21;2167.20;6.26%;103
MDHFPCVRPTW_60_S_0;25;2;0;0;1;2188.22;11.40%;450;2196.05;15.85%;317
MDHFPCVRPTW_60_S_1;26;2;0;0;1;2406.69;12.61%;1659;2398.34;15.85%;83
MDHFPCVRPTW_60_S_2;27;2;0;0;1;1906.32;9.10%;24;1899.77;9.60%;155
MDHFPCVRPTW_60_S_3;28;2;0;0;1;2452.48;8.66%;262;2438.50;10.29%;183
MDHFPCVRPTW_60_S_4;29;2;0;0;1;2115.88;5.73%;35;2150.39;10.11%;83
MDHFPCVRPTW_90_D_0;30;90;1;0;0;3230.91;4.90%;715;3230.91;9.83%;171
MDHFPCVRPTW_90_D_1;31;90;1;0;0;3644.91;8.98%;629;3629.99;11.09%;158
MDHFPCVRPTW_90_D_2;32;90;1;0;0;3360.12;7.08%;718;3331.81;8.27%;169
MDHFPCVRPTW_90_D_3;33;90;1;0;0;3372.49;6.17%;60;3420.85;8.62%;128
MDHFPCVRPTW_90_D_4;34;90;1;0;0;3416.58;4.94%;31;3467.30;8.74%;137
MDHFPCVRPTW_90_B_0;35;90;0;1;0;3140.92;9.98%;2805;3068.47;7.69%;453
MDHFPCVRPTW_90_B_1;36;90;0;1;0;No;No;No;3448.57;14.25%;2357
MDHFPCVRPTW_90_B_2;37;90;0;1;0;No;No;No;3399.11;10.40%;402
MDHFPCVRPTW_90_B_3;38;90;0;1;0;No;No;No;3346.51;11.37%;554
MDHFPCVRPTW_90_B_4;39;90;0;1;0;No;No;No;3121.62;9.04%;487
MDHFPCVRPTW_90_S_0;40;90;0;0;1;No;No;No;3269.97;13.95%;1702
MDHFPCVRPTW_90_S_1;41;90;0;0;1;2933.06;15.33%;116;2842.42;9.47%;480
MDHFPCVRPTW_90_S_2;42;90;0;0;1;3330.41;19.47%;3095;3041.39;13.51%;745
MDHFPCVRPTW_90_S_3;43;90;0;0;1;No;No;No;2825.83;13.21%;596
MDHFPCVRPTW_90_S_4;44;90;0;0;1;No;No;No;3211.88;17.18%;540
MDHFPCVRPTW_120_D_0;45;120;1;0;0;No;No;No;4635.58;10.64%;1288
MDHFPCVRPTW_120_D_1;46;120;1;0;0;No;No;No;4375.90;15.35%;401
MDHFPCVRPTW_120_D_2;47;120;1;0;0;4318.06;7.84%;1766;4261.90;7.17%;1048
MDHFPCVRPTW_120_D_3;48;120;1;0;0;No;No;No;4384.48;12.23%;609
MDHFPCVRPTW_120_D_4;49;120;1;0;0;No;No;No;4126.60;12.74%;366
MDHFPCVRPTW_120_B_0;50;120;0;1;0;No;No;No;4213.65;13.42%;1092
MDHFPCVRPTW_120_B_1;51;120;0;1;0;No;No;No;No;No;No
MDHFPCVRPTW_120_B_2;52;120;0;1;0;No;No;No;4268.65;13.23%;1866
MDHFPCVRPTW_120_B_3;53;120;0;1;0;No;No;No;4483.38;18.37%;2366
MDHFPCVRPTW_120_B_4;54;120;0;1;0;No;No;No;No;No;No
MDHFPCVRPTW_120_S_0;55;120;0;0;1;No;No;No;4138.00;14.81%;93
MDHFPCVRPTW_120_S_1;56;120;0;0;1;No;No;No;No;No;No
MDHFPCVRPTW_120_S_2;57;120;0;0;1;No;No;No;No;No;No
MDHFPCVRPTW_120_S_3;58;120;0;0;1;No;No;No;No;No;No
MDHFPCVRPTW_120_S_4;59;120;0;0;1;No;No;No;4420.23;14.77%;64
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
